location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
"København, Hovedstaden",5663,0,"['dkbiz', 'kontanthjælp', 'dksocial', 'dkpol']",2021-08-19 08:39:17,jobparate på kontanthjælp arbejder blot   timer om ugen i gennemsnit  viser dianalyse  enormt ærgerligt  lær af flygtningeindsatsen siger   ælp   ,-2.0
Danmark,72723,6,['dkpol'],2021-08-19 08:39:01,lidt om den seneste uge    ,0.0
"Schillerhuset, Nannasgade 28",106,0,"['dkpol', 'dkmedier']",2021-08-19 08:38:23,antallet af ubesatte jordemoderstillinger i region hovedstaden er fordoblet på et halvt år  aktivistgruppe bag underskriftindsamling spiller formentlig en rolle i den kritiske udvikling  mener en af initiativtagerne     ,0.0
Earth,222148,3,['dkpol'],2021-08-19 08:37:32,…  på forfejlet afghanistan plan siden april  … skulle der stå    så sent som for knap en måned siden stod vi i  og forsøgte at få  til at handle nu    istedet for at handle gik der  igen  indenrigspolitik i sagen  og afgørrende tid blev spildt  ,-2.0
Denmark,25220,0,['dkpol'],2021-08-19 08:37:23,nu bliver det politisk men undskyld mig lige  hvad fanden menes der ved lovforslag om toårs opholdsaftale    de mennesker har sat livet på spil for at hjælpe danmark i afghanistan og der bliver allerede lagt planer så de kan sendes tilbage  de burde få statsborgerskab ,-2.0
"København, Danmark",2782,6,['dkpol'],2021-08-19 08:37:00,lidt om den seneste uge    ,0.0
,104868,12,"['dkpol', 'dkgreen']",2021-08-19 08:36:47,hverken landmandens økonomi  danmarks klimaregnskab eller dyrevelfærden hænger sammen  så skulle vi ikke skynde os at plukke denne lavthængende frugt og omgående stoppe al produktion af smågrise til eksport        ,-1.0
"Herning, Danmark",618,4,['dkpol'],2021-08-19 08:36:26,jeg har da sjældent set noget så hyklerisk  som ’s kritik af regeringen  som jeg deler  ift  evakuering af de afghanske tolke    df var det eneste parti der stemte imod finansieringen til at hente de afghanere  der har hjulpet dk  hjem ,-4.0
"Hovedstaden, Danmark",2929,3,"['dkpol', 'dktrp', 'dkgreen']",2021-08-19 08:35:09, medlem reintegrate skal forsyne  containerskib med co neutralt brændstof       ,0.0
Copenhagen,126,2,"['skolechat', 'dkpol', 'uddpol']",2021-08-19 08:34:39,i går havde  og jeg en god dialog omkring radikales nye skoleudspil har snakkede vi bl a  om et godt undervisningsmiljø  retten til undervisningsmiljørepræsentanter og genstart af elevrådene   ser frem til et godt samarbejde med       ,9.0
Copenhagen,8505,3,"['dkpol', 'dktrp', 'dkgreen']",2021-08-19 08:34:15, medlem reintegrate skal forsyne  containerskib med co neutralt brændstof       ,0.0
Copenhagen,8505,2,"['dktrp', 'elbil', 'dkpol', 'dkgreen']",2021-08-19 08:34:04,har i  skrevet lidt om omstilling af   i den lette transport er  den oplagte løsning mens meget tyder på at brint og el bliver den langsigtede løsning i  ptx bliver dog også meget vigtig ikke mindst i og    ,4.0
,3891,9,"['dkmedier', 'dkpol', 'sundpol', 'Sundhed']",2021-08-19 08:33:20,covidvaccination  der er fortsat høj vaccineeffektivitet for covid  vaccinerne  det viser et nyt notat fra ssi       ,0.0
Danmark,323229,1,"['dkpol', 'kenloach']",2021-08-19 08:33:03,at det britiske socialdemokrati ekskluderer filmmanden ken loach siger mere om partiet end om ham   partier forgår den sociale kamp består      ,-3.0
Denmark,1126,2,"['klimaførst', 'dkgreen', 'dkpol', 'dkklima']",2021-08-19 08:32:59, /  af borgerne i g  lande ønsker at prioritere klimapolitik og naturbeskyttelse over job og profit  stort potentiale for momentum  der netop sætter ørst    ,2.0
Danmark,4885,3,"['dkpol', 'dktrp', 'dkgreen']",2021-08-19 08:32:55, medlem reintegrate skal forsyne  containerskib med co neutralt brændstof       ,0.0
,3722,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-19 08:32:21,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
Silkeborg  +45 61 62 50 98,2802,1,"['dkpol', 'kenloach']",2021-08-19 08:32:10,at det britiske socialdemokrati ekskluderer filmmanden ken loach siger mere om partiet end om ham   partier forgår den sociale kamp består      ,-3.0
"A Copenhagen suburb, Europe",12053,1,"['dkpol', 'dkgreen']",2021-08-19 08:31:03,dejligt  at  også støtter en ensartet klimaafgift  hvor landbruget skal betale det samme som resten af samfundet   bare irriterende  at det er politikerne der står i vejen     ,-1.0
,5539,3,['dkpol'],2021-08-19 08:30:55,medvirkende i dagens  kl               og michael   ,0.0
,3722,3,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-19 08:30:48,vigtigt indlæg fra geert vanden bossche om coronahåndteringen og specielt vaccinestrategien         ,0.0
"Odense, Danmark",4685,18,"['pressemøde', 'dkpol', 'Afghanistan']",2021-08-19 08:30:26,come on   spørg nu om hvad mette lavede til rockkoncert i odense fredag aften  mens kabul var ved at falde  øde  ,0.0
