,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,merenaturiDk,Dansk naturfotograf som kæmper for mere vild natur i Danmark.,,273,533,2462,12,"Hverken landmandens økonomi, Danmarks klimaregnskab eller dyrevelfærden hænger sammen, så skulle vi ikke skynde os at plukke denne lavthængende frugt og omgående stoppe al produktion af smågrise til eksport, @RasmusPrehn? @Spolitik #dkpol #dkgreen 
https://t.co/sKOCvgm0rN",[],2021-08-12 23:50:55
1,kamransarwar,From PakisDan🇵🇰🇩🇰 In Denmark for 40+ years. Talk World Affairs/Aviation/Tech/Travel. Tweets n Tweeps are both English/Urdu and Danish. IRONY is paramount,"CPH,LNDN,NYC,MILAN,OSLO,JAPAN",1369,3552,25924,0,"Et af de skarpe spørgsmål jeg får så mange af på twitter………. 

#dkpol #justsaying https://t.co/zUEsgkGKyu","['dkpol', 'justsaying']",2021-08-12 23:36:40
2,LarsFJ1,🇩🇰🇪🇺   Fully vaccinated May 2021. 2 jabs Pfizer/BioNTech. Corona passport to EU standard.,Danmark,1828,1123,27537,0,"US Højesteret afviser at behandle krav om vaccination  dvs.:
Et krav om vaccination i forbindelse med en aktivitet er i almindelighed lovligt i USA.  #dkmedier #dkpol https://t.co/NXZAwZo74F","['dkmedier', 'dkpol']",2021-08-12 23:27:51
3,EBB41720101,"Anti-fascist 
Concerned about the climate & lack of action.
Pro science",Denmark,247,28,1126,5,Hos Momentum er prioriteringen klar. Det er på tide at sætte #klimaførst - #dkpol #dkmedier #dkgreen https://t.co/UCbALbx1bm,"['klimaførst', 'dkpol', 'dkmedier', 'dkgreen']",2021-08-12 23:27:43
4,_schifter,,,67,173,711,47,"1/n. Det er en skandale, at der ikke er udført en systematisk undersøgelse af koagulationssystemsaktivering før vaccinegodkendelserne. - Og at de regulatoriske myndigheder har godkendt vaccinerne på trods af det.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-12 23:26:18
5,Jens10171688,"Danmark & England 🇩🇰🏴󠁧󠁢󠁥󠁮󠁧󠁿🛠💪 
 Fuck eu 🖕🏻!",,221,38,805,8,"Storbritanniens eksport er nu over før-Brexit niveau. Værre og sværere var det så heller ikke!

#EU #Brexit #dkpol 

https://t.co/9aZi6omtAe","['EU', 'Brexit', 'dkpol']",2021-08-12 23:23:39
6,_schifter,,,67,173,711,1,Fint indslag. To fagfolk. Super. Det savner jeg mere af. Fagfolk der taler for og imod. Dog var det en traditionel logos vs. patos meningsudveksling. Jeg ved godt hvor jeg satser mine penge😊 #COVID19dk  #vaccination #dkpol #dkmedier https://t.co/9dyAmRwR37,"['COVID19dk', 'vaccination', 'dkpol', 'dkmedier']",2021-08-12 23:17:03
7,S_Dalsgaard_B,"Amateur photographer, amateur programmer, amateur cake decorator, amateur geek.
He/him","Hjørring, Denmark",531,448,7712,0,@PallePoulsen Jep. Hvis man er moralens vogter (hvilket flere i dkpol burde være) må man forvente at man selv skal leve op til det man prædiker.,[],2021-08-12 23:15:40
8,esbbbwnn,"My best friend is @beatsbygunk
- Selling/buying human organs 
- Meme/warlord
- Crackhead
- Crypto rich 
- Lover at best 
- Rapper at worst",,117,21,211,0,"Ja han har kørt over en eller andens tissekone med en kørestol og hvad så?
#dkpol",['dkpol'],2021-08-12 23:10:43
9,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,3,"Forslag om legalisering af hash kalder næsten på et gensyn med en serie på @videnskabdk om, hvilke videnskabelige erfaringer man har gjort sig med den slags i udlandet (Uruguay, USA, Portugal) https://t.co/HLyISGxdER @kimkrimoeller #dkpol #dkvid",[],2021-08-12 23:09:22
10,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,5,"Når @Enhedslisten vil udvide velfærden, går partiet til @SSTSundhed og Tandlægeforeningen for viden og tal, der kan underbygge udspillet.

Når @NyeBorgerlige vil fremlægge en økonomisk “plan” går partiet til CEPOS.

Værsgo, vurder selv hvor der er mest fornuft at finde.
#dkpol",[],2021-08-12 23:06:55
11,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,5,"Klar melding fra @HenningThiesen og @DMCamilla, om at vi ikke får flere dimittender i arbejde ved at fattiggøre dem. Der er flere glimrende værktøjer, der kan bruges i stedet for at gamble med den danske model #uddpol #dkpol https://t.co/nlg1hLoSvK",[],2021-08-12 23:06:20
12,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,6,Den skal jeg lige ha’ igen. Så unge arbejdsløse skal betale klimaregningen for os midaldrende og vellønnede? Seems fair… #dkpol #arbejde #klima https://t.co/Iesjll1LxJ,[],2021-08-12 23:05:18
13,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,12,"Dagens klimatal:

Der er nu gået mere end 3 døgn siden rapporten fra FN's klimapanel kom, og der har mig bekendt været NUL kommentarer fra @Statsmin 🤔

Er det larmende tavshed? Er hun på ferie? eller planlægger hun nyt stort klimaudspil?🙏😀

#dkpol #ClimateEmergency https://t.co/BAtnjpoVbt",[],2021-08-12 23:04:08
14,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,3,"Vi må tale om teknologiens skyggesider, hvis vi vil høste fordelene af digitalisering i den offentlige forvaltning uden at miste vores retsstat eller borgernes tillid undervejs. Det skriver @BAEiriksson i @Altingetdk #dkpol 

https://t.co/FkPDsugC91",[],2021-08-12 23:03:09
15,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,7,"Det er #generationstyveri, når @venstredk vil skære i nyuddannedes dagpenge. Dimittendsatsen bør absolut ikke forringes - ikke den rigtige vej at gå, når unge skal lande deres første job #dkpol #dklifescience https://t.co/61ToJqWPRX",['generationstyveri'],2021-08-12 23:01:54
16,espersendf,Folketingsmand for Dansk Folkeparti og Kommitteret for Hjemmeværnet.,,191,12067,7601,8,"Storbritanniens eksport er nu over før-Brexit niveau. Værre og sværere var det så heller ikke!

#EU #Brexit #dkpol 

https://t.co/9aZi6omtAe","['EU', 'Brexit', 'dkpol']",2021-08-12 22:58:33
17,transceiverfreq,"xi=aixi'-(d+ai0+ai1)xi+rxi(fi-Φ ) | Freelance Research | Infosec | Professional 10th woman | Websnedker | 微博：zzz大梦想家 ☆ [Videnskab, klima & ugens kortfilm]","Frederiksberg, Denmark",340,1088,44937,0,"@TomasVogter @TokeBoisen @epochdk .. På det store plan, må man kræve systemforandring og et kompetent og ansvarligt #dkpol. På det personlige plan, handler det om at gøre det man har mulighed for.",['dkpol'],2021-08-12 22:57:53
18,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,6,"Dagpengene er en kerne i velfærdssamfundet og i den danske model. Hvis man beskærer satsen mere end man allerede har gjort, forringer man både nyuddannedes vilkår og deres lyst til at være en del af a-kassesystemet på den lange bane #dkpol @HenningThiesen  @tv2newsdk https://t.co/ZbXdwPgHPR",[],2021-08-12 22:54:44
19,annsophiehp,"Kontaktperson for @rgungdom i Aalborg. Socialrådgiverstuderende på AAU.
Tweets om #dkpol har for længst vundet indpas","Aalborg, Danmark",220,41,570,21,"Nej! De nyuddannede skal ikke fattiggøres, mens de søger job.
Og det er flabet at kalde en rundbarberet dimittendsats for “et system, der fastholder mennesker på overførselsindkomst.”
Vi skal lave grøn omstilling, men ikke ved at nedskære #dagpenge. #dkpol
https://t.co/xiaatGw6V4",[],2021-08-12 22:52:32
20,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,8,"Farlig dikotomi af klima og offentlig forbrug, @venstredk

I stedet for at forurenerne betaler for deres forurening, foreslår man at en lille gruppe betaler for subsidier til forurenerne, og skaber splid i samfundet.

Uanstændigt!

#dkpol #dkgreen 

https://t.co/dBT7S5dpZn",[],2021-08-12 22:52:30
21,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,12,"Hverken landmandens økonomi, Danmarks klimaregnskab eller dyrevelfærden hænger sammen, så skulle vi ikke skynde os at plukke denne lavthængende frugt og omgående stoppe al produktion af smågrise til eksport, @RasmusPrehn? @Spolitik #dkpol #dkgreen 
https://t.co/sKOCvgm0rN",[],2021-08-12 22:48:17
22,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,6,Spred budskabet. Duk op med kollegaer og venner 💪 #SlutMed1969 #EnLøsningForAlleKvindefag  #SolidaritetMedSygeplejerskerne @Sygeplejeraadet @DanskeS @Solidaritetdk @Kvinderaadet @KVINFO @Kvindesamfund @sygeplejestud #dkpol #ligeløn #OK21 https://t.co/7vHh1JFeT0,"['SlutMed1969', 'EnLøsningForAlleKvindefag', 'SolidaritetMedSygeplejerskerne']",2021-08-12 22:48:04
23,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,10,"Hvis jeg nu var ung, og jeg med rette allerede var tosset på alle de gamle, der har smadret klimaet, så ville jeg nok være riiimelig harm over, at @JakobEllemann vil financiere klimahandling med mine dagpenge #dkpol #justsayin",[],2021-08-12 22:46:59
24,DKFelle,"Alle mennesker vil være en succes - forstå deres handling derudfra. En sandhed der kræver øvelse.
Men I skal heller ikke fucke med min risengrød 👽","Skanderborg, Danmark",242,108,9635,0,"#dkpol
Veteraner om ny tolke-aftale: Det er fedtet, respektløst og et svigt https://t.co/fQLjwTsmqc",['dkpol'],2021-08-12 22:44:09
25,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@KlyngeC Hvad mener du med “act on climate change”?

Er det nyt, at det er varmt i sydeuropa i August?

Danmark udleder under 0,10% af global CO2. Vi kan ikke påvirke klimaet målbart.

Så hvad er det du foreslår?

Eller er det bare virtue signalling?

#dkpol #dkgreen #dkmedier","['dkpol', 'dkgreen', 'dkmedier']",2021-08-12 22:43:10
26,faerge6,Medlem nr.10937 af @KonservativeDK,,1249,384,9884,1,"#dkpol Jelved havde jordforbindelse, og skulle aldrig have stoppet. Nu har RV trukket aktivisme &amp; ideologi ind i FT. Kaos, bedrag, løgn &amp; krænkelser gennemsyrer partiet med skævvreden feminisme &amp; magtkampe på vælgernes bekostning. 
Lidegaard burde overtage &amp; få rettet partiet op. https://t.co/9ljGWEp8Mm https://t.co/MXhifYllXe",['dkpol'],2021-08-12 22:39:03
27,TomasVogter,"Arrig had-feminist woke satan, Menneskeretsfundamentalist, intet tålmod med røvhuller af enhver art. 
Hader: sexister, racister, fascister, nazister, homofober",Denmark,286,365,14168,23,"Mette, hvor er du henne? Vores politikere bør behandle klimakrisen med samme ildhu som coronakrisen. Det må stå tindrende klart efter den nyeste rapport fra @IPCC_CH. #dkpol #dkgreen https://t.co/dEWOucFtrh",[],2021-08-12 22:34:20
28,barrett_cph,Studerende på CBS med større interesse for fodbold end Makroøkonomi ⚽️ Brøndby IF er min hjerteKlub og jeg er fodboldtræner i CBS Sport Football #doogiedoogie,"Copenhagen, Denmark",574,192,2024,16,"Både S og Radikale er ikke afvisende overfor Venstres forslag om at lade de unge nyuddannede betale klimaregningen. Helt sort og asocialt. Lad forurenerne betale. Lad dem, der har tjent fedt på at ødelægge kloden, betale. Ikke de unge. #dkpol #dkgreen",[],2021-08-12 22:33:03
29,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@HanziVon @Plidderpludder1 @tv2newsdk Hvordan går det med at Hunter Biden fik 3,5 mio USD fra Rusland - fra  enken til Moskvas borgmester? LOL 

https://t.co/AouQA7CoLb

Hvorfor fik Hunter Biden en diamant som er 80.000 USD værd i Kina af en kineser? LOL

https://t.co/1WgB081pF1

#dkpol",['dkpol'],2021-08-12 22:29:37
30,Iduna27,,,37,20,1974,16,"Det er en meget dårlig idé at svække dagpengesystemets solidaritet. Mange ledige dimittender ser ikke dagpengesystemet igen, men står i a-kassen og bidrager til flexicurity og sikkerhed for andre med større ledighedsrisiko. Vi skal ikke sende de stærke ud af A-kassen. #dkpol",[],2021-08-12 22:27:52
31,Martinwoldike,"Presserådgiver, Forsvarsministeriet / Press advisor, Danish MoD (Tidl. Udenrigsministeriet og TV 2 NEWS)",Copenhagen,1287,728,4118,3,"På besøg hos forsvarsvirksomheden @TenCateArmour; en virksomhed ud af mange, der er med til at spille en afgørende rolle for Danmarks forsvar og sikkerhed. Glædeligt at regeringen viser så stor forståelse for betydningen af den danske forsvarsindustri #dkpol @Trinebramsen https://t.co/4hm4VVJco5",[],2021-08-12 22:26:11
32,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,0,"@PerPede93264500 Det var ikke sådan før. Tænker også hvor synd det er for deres vælgere der har vist tillid, troet på deres politik,hvor mange er blevet påvirket af deres adfærd, &amp; lært sig at te sig som disse aktivister,for at få det gennemført. Fordømmelser, udelukkelse og indtålerance. #dkpol",['dkpol'],2021-08-12 22:25:09
33,Martinwoldike,"Presserådgiver, Forsvarsministeriet / Press advisor, Danish MoD (Tidl. Udenrigsministeriet og TV 2 NEWS)",Copenhagen,1287,728,4118,7,"Godt med en ny strategi for dansk forsvarsindustri, @Trinebramsen og @simonkollerup 👏
@JFinkielman vurderer i @borsendk at den nye strategi vil få positiv betydning for #dkbiz mulighed for at afsætte deres produkter i udlandet 👇@di_forsvar #dkpol https://t.co/QMlpevgVb7",[],2021-08-12 22:24:54
34,Martinwoldike,"Presserådgiver, Forsvarsministeriet / Press advisor, Danish MoD (Tidl. Udenrigsministeriet og TV 2 NEWS)",Copenhagen,1287,728,4118,2,"Så ranker man lige ryggen og spænder hjelmen to hakker ind, når ⁦@Forsvarsmin⁩ og ⁦@Trinebramsen⁩ fra ⁦@regeringDK⁩ lancerer ny forsvarsindustriel strategi på ens arbejdsplads #dkpol #dkforsvar #ProudToBeAWeibel  https://t.co/vfDHfheZPB",[],2021-08-12 22:24:04
35,Martinwoldike,"Presserådgiver, Forsvarsministeriet / Press advisor, Danish MoD (Tidl. Udenrigsministeriet og TV 2 NEWS)",Copenhagen,1287,728,4118,1,Breaking news! Ny forsvarsindustriel strategi præsenteres imorgen af ⁦@Trinebramsen⁩ og ⁦@simonkollerup⁩ #dkpol #dkbiz #dkforsvar https://t.co/rvRUfkYK3R,"['dkpol', 'dkbiz']",2021-08-12 22:23:59
36,LillianKinsman,"Avenger of truth, loyalty and uncompromising bluntness of right or wrong..Not interested in hookups...Not afraid of anything..",,453,34,2453,14,"Studerende med handicap er allerede bagud 2-0 når der skal søges job efter uddannelse - bl.a. pga. manglende erhvervserfaring under studiet. V's forslag er usympatisk for mange, men særligt dimittender med handicap bliver ramt drøn hårdt #uddpol #dkpol https://t.co/I5BFrGhF9J",[],2021-08-12 22:22:13
37,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,1,"#dkpol Jelved havde jordforbindelse, og skulle aldrig have stoppet. Nu har RV trukket aktivisme &amp; ideologi ind i FT. Kaos, bedrag, løgn &amp; krænkelser gennemsyrer partiet med skævvreden feminisme &amp; magtkampe på vælgernes bekostning. 
Lidegaard burde overtage &amp; få rettet partiet op. https://t.co/9ljGWEp8Mm https://t.co/MXhifYllXe",['dkpol'],2021-08-12 22:19:56
38,terraaspen,"Bhaktgan, yaha naa aana",,91,131,33577,2,"Man kan selvfølgelig ikke tage alle hjem, der har brug for det, siger @annette_lind efter kritik af Tolkeaftalen. #dkpol https://t.co/81s7MNc3cJ",['dkpol'],2021-08-12 22:19:44
39,AktuelKommentar,,,954,328,10532,0,"@dr2deadline @annette_lind Næ, nej. Et par hundrede mennesker det er uoverkommeligt. At vinde over en sindssyg terrorbevægelse på den anden side af jorden, det skulle ikke være noget problem... Nå det er det, jamen så pakker vi sammen og rejser hjem igen....🤐
#dkpol",['dkpol'],2021-08-12 22:19:35
40,FinnNielsen,"Saving the world a tweet at a time, your everyday kværulant, kv21-kandidat i Odense for @Radikale og ledig lektor. Formand for @eubevfyn",Odense,2699,1286,39445,27,"Hvis forslaget om #dagpenge-nedskæringer fra @venstredk bliver en realitet, vil unge jobsøgendes indkomst falde under EUs fattigdomsgrænse. Jeg har i dag talt med TV2 News om vigtigheden af at bevare dimittendsatsen.#dkpol #arbejde #generationstyveri https://t.co/QYJgCELFgO",['dagpenge'],2021-08-12 22:18:25
41,kamransarwar,From PakisDan🇵🇰🇩🇰 In Denmark for 40+ years. Talk World Affairs/Aviation/Tech/Travel. Tweets n Tweeps are both English/Urdu and Danish. IRONY is paramount,"CPH,LNDN,NYC,MILAN,OSLO,JAPAN",1369,3552,25924,0,"Jeg har lagt Naser Khader bag mig !
#dkpol #justsaying https://t.co/LBiwowJpeb","['dkpol', 'justsaying']",2021-08-12 22:18:15
42,CarstenEsmark,"Modstander af et system, der systematisk tager vores frihed fra os!",,124,83,639,47,"1/n. Det er en skandale, at der ikke er udført en systematisk undersøgelse af koagulationssystemsaktivering før vaccinegodkendelserne. - Og at de regulatoriske myndigheder har godkendt vaccinerne på trods af det.
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-12 22:14:32
43,JensRas77511670,"Vi er naturelskere, vi er klimakrigere, vi er hverdagsaktivister, vi er nytænkere, vi er optimister, vi er ordentlige, vi er sjove, vi er seriøse,",Danmark,2319,384,31319,4,"35.000.000.000.000... rigere. Altså 35.000.000.000.000 rigere end de allerede var. Det er simpelthen så perverst. Det er lige før man tænker: 'Nu gider jeg faktisk ikke mere snak; lad os finde høtyvene frem'. 
#dkoeko #dkfinans #dkaid #capitalism #inequality #dkpol",[],2021-08-12 22:13:01
44,JensRas77511670,"Vi er naturelskere, vi er klimakrigere, vi er hverdagsaktivister, vi er nytænkere, vi er optimister, vi er ordentlige, vi er sjove, vi er seriøse,",Danmark,2319,384,31319,2,"Det er i den her kontekst at V vil have DP-modtagere til at betale klimaregningen. Og - ligeså vigtigt - i den kontekst at @Spolitik ikke kan finde ud af, at rykke på hverken klima el. velfærd, for 'hvor skal pengene komme fra?'. https://t.co/EA9tvx38OF #dkgreen #dkpol",[],2021-08-12 22:12:55
45,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@MarkHBeanland @JakobEllemann LOL “mine dagpenge” :)

Det er fuldkommen bizart, at raske veluddannede skal gå fra SU og måske studiejob (som de så siger op for at få dagpenge) til en langt højere ydelse.

“Smadret klimaet”?! Danmark udleder under 0,10% af global CO2. Proportioner, tak!

#dkpol #dkmedier","['dkpol', 'dkmedier']",2021-08-12 22:12:46
46,ace_sre,"Er jer uenig med dig vil jeg kæmpe med alt jeg har af argumenter, men jeg vil dø for vores ret til at være uenige!                Ateist, med egen vilje.",København,864,109,6791,4,"Som dreng så jeg disse billeder med frygt. Nu gentager de sig måske. USA der er født af et oprør, har ikke selv udviklet en holdbar strategi og doktrin til oprørsbekæmpelse. @AtlantDK #dkpol #COIN #Afghanistan #NytVietnam https://t.co/iIhZCXvKCX",[],2021-08-12 22:11:40
47,MStockmarr,,"København, Danmark",536,169,32761,27,"Hvis forslaget om #dagpenge-nedskæringer fra @venstredk bliver en realitet, vil unge jobsøgendes indkomst falde under EUs fattigdomsgrænse. Jeg har i dag talt med TV2 News om vigtigheden af at bevare dimittendsatsen.#dkpol #arbejde #generationstyveri https://t.co/QYJgCELFgO",['dagpenge'],2021-08-12 22:10:17
48,MStockmarr,,"København, Danmark",536,169,32761,16,"Det er en meget dårlig idé at svække dagpengesystemets solidaritet. Mange ledige dimittender ser ikke dagpengesystemet igen, men står i a-kassen og bidrager til flexicurity og sikkerhed for andre med større ledighedsrisiko. Vi skal ikke sende de stærke ud af A-kassen. #dkpol",[],2021-08-12 22:09:30
49,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@AShenningsen Det som betyder noget er jo at f.eks. elbiler eller rene energikilder som atomkraft, sol, vind er - eller på et tidspunkt bliver - konkurrencedygtige - så alle i hele verden vælger dem af sig selv uden “opofrelse”. 

Alt andet er politisk manipulation og teater.

#dkpol #dkgreen","['dkpol', 'dkgreen']",2021-08-12 22:08:43
50,ra5mu553n,"Arbejder for et stort 🖥️ -firma, men har mange andre sunde interesser.",,463,110,3314,0,"@MarkHBeanland @venstredk Hvem skal de unge egentlig stemme på? @Spolitik vil tvinge dem til provinsen og tørre regningen for mink-aflivningen af på dem, @venstredk vil have dem til at betale for klimatilpasning, og @radikale er åbenbart en folk krænkere alle sammen 🤷 #dkpol",['dkpol'],2021-08-12 22:06:49
51,ACakademikerne,"For det dygtigste Danmark. Vi er talerør for 28 faglige organisationer, der organiserer samfundets højest uddannede.",Kontakt: 3369 4040,608,2457,4958,16,"Det er en meget dårlig idé at svække dagpengesystemets solidaritet. Mange ledige dimittender ser ikke dagpengesystemet igen, men står i a-kassen og bidrager til flexicurity og sikkerhed for andre med større ledighedsrisiko. Vi skal ikke sende de stærke ud af A-kassen. #dkpol",[],2021-08-12 22:06:44
52,liberty_dane,"Pipper om politik og frihed.

Great minds discuss ideas. Average minds discuss events. Small minds discuss people.",,342,603,62396,0,"@AShenningsen Forstå mig ret; jeg mener også vi skal “gøre noget” - men ikke “gøre noget” som er dyrt men ubetydeligt. Vi skal have øje for proportionerne; DK udleder under 0,10% af global CO2. 

Kan vi udvikle teknologi som andre lande også af sig selv vil købe kan det rykke 

#dkpol #dkgreen","['dkpol', 'dkgreen']",2021-08-12 22:05:05
