Date,NewPositive
8/9/2021,1082.0
8/10/2021,1066.0
8/11/2021,989.0
8/12/2021,1000.0
8/13/2021,963.0
8/14/2021,821.0
8/15/2021,935.0
8/16/2021,1100.0
8/17/2021,1028.0
8/18/2021,600.0
