,location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
22,,230,0,"['scam', 'scammersmethods', 'subversion', 'dkpol', 'COVID19dk', 'scamexample']",2021-08-14 20:36:04, klart i er  klart i er  en vaccine som har eksisteret i mindre end et år har i viden om er fuldstændigt sikkert bare to år frem   sounds legit        ,2.0
23,"Copenhagen, Denmark",2422,5,"['dkpol', 'COVID19dk', 'coronadk']",2021-08-14 11:23:41,sarscov  findes ikke  ingen virus  ingen pandemi  i er blevet røvrendt for jeres egne skattekroner     ,0.0
24,Danmark,5041,5,"['dkpol', 'COVID19dk', 'coronadk']",2021-08-14 10:47:48,sarscov  findes ikke  ingen virus  ingen pandemi  i er blevet røvrendt for jeres egne skattekroner     ,0.0
25,Denmark,15616,5,"['dkpol', 'COVID19dk', 'coronadk']",2021-08-14 10:47:21,sarscov  findes ikke  ingen virus  ingen pandemi  i er blevet røvrendt for jeres egne skattekroner     ,0.0
26,Danmark,2688,8,"['danskdiktatur', 'dkpol', 'covid19dk', 'coronavirus']",2021-08-14 06:21:49,jeg er overrasket over hvor mange i dk der rent faktisk hylder det totalitærer og diktatorisk  imens de mener at de samtidig står op for demokratiet     det hænger simpelthen ikke sammen        ,2.0
27,København,33254,5,"['dkpol', 'COVID19dk', 'coronadk']",2021-08-14 01:42:06,sarscov  findes ikke  ingen virus  ingen pandemi  i er blevet røvrendt for jeres egne skattekroner     ,0.0
28,,3848,1,"['coronadk', 'dkmedier', 'dkpol', 'covid19dk']",2021-08-13 21:37:07,beder alle indberette dette tweet  da det tydeligt opfordrer til overgreb  tvang og vold mod børn og unge  bør ikke høre hjemme på sociale medier        hvad er det for nogle monstre i har skabt   ,-1.0
29,,4905,1,"['dkpol', 'covid19dk', 'coronavirus']",2021-08-13 19:45:53,en historie fra det virkelige liv     ,0.0
30,EDEN,6455,1,"['dkpol', 'covid19dk']",2021-08-13 17:03:49,dansk politik er under coronakrisen blevet overtaget af en skadelig biopolitik baseret på tre totalitære tendenser  det lover dårligt for fremtiden  skriver thomas aastrup rømer i dette debatindlæg     ,-6.0
31,EDEN,6455,5,"['dkpol', 'COVID19dk', 'coronadk']",2021-08-13 16:13:00,sarscov  findes ikke  ingen virus  ingen pandemi  i er blevet røvrendt for jeres egne skattekroner     ,0.0
32,Copenhagen,310,1,"['dkpol', 'covid19dk']",2021-08-13 13:49:49,dansk politik er under coronakrisen blevet overtaget af en skadelig biopolitik baseret på tre totalitære tendenser  det lover dårligt for fremtiden  skriver thomas aastrup rømer i dette debatindlæg     ,-6.0
33,,1065,0,"['dkpol', 'COVID19dk']",2021-08-13 10:16:12,så når jeg hopper på toget i morgen  er jeg fri for at høre på en eller anden stor mand stå og udskamme mig med hans ord og hans blik  interessant  det er da første gang i ca et år det sker        ,4.0
34,Danmark,18720,1,"['dkpol', 'Covid19']",2021-08-13 08:32:42,myanmars fagbevægelse  militæret har forværret epidemien  men arbejdsgiverne har også et ansvar     ,-2.0
35,Danmark,72660,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 08:05:01,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
36,Nykøbing Sjælland,21549,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 08:04:16,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
37,Denmark,30400,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 08:03:35,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
38,"Frederiksberg, Hovedstaden",102044,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 07:42:29,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
39,"Aalborg, Danmark",123062,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 07:26:50,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
40,Valby,88,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 07:24:58,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
41,"Hovedstaden, Danmark",5341,1,"['dkpol', 'covid19dk', 'coronavirus']",2021-08-13 07:10:40,en historie fra det virkelige liv     ,0.0
42,Danmark,323026,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 06:59:03,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
43,Danmark,28116,7,"['dkpol', 'covid19dk', 'dktrp']",2021-08-13 06:58:13,fra lørdag er det slut med mundbind i kollektiv transport  kæmpe tak til transportører  medarbejdere og borgere  der gennem hele coronakrisen har holdt ud i nu mere end et år  i har været med til at få os igennem coronakrisen    ,1.0
44,,94,0,"['dkpol', 'covid19dk']",2021-08-12 16:47:38,pressede betjente slår hårdest mød politiet med kærlighed og åbne arme     ,3.0
45,,2196,1,"['BeskytBørneneModCovid19', 'SikreSkoler', 'CovidErLuftbåren', 'dkpol', 'COVID19']",2021-08-12 14:45:27,covid   smitter særlig meget ved sang indendørs ørnenemodcovid    åren         ,-2.0
