,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,CommonSenseASAP,"CivilDisobedience is a sacred duty when the state becomes BS. Ghandi
The future WILL be decentralized. Orwell
Former lawyer. Now investments only.",#eUSSR-vassalstate denmark,5055,9409,48725,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-22 08:29:40
1,TaniaGroth,"Conservative Capitalist
There are ONLY 2 genders
Loathe Islam, Naziism, Socialism, Communism, Fascism and Feminism
Pro Free Speech
Climate realist","Copenhagen, Denmark",2552,2817,95070,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 20:28:50
2,sannheten2021,"Sannheten trumfer alt.
Jeg pleide før i tiden å være en sånn av de forkastelige i EU, og den kvinnen Gud skapte først, før Eva.",,405,413,9291,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 20:15:03
3,PaigeZanco,Married to my soulmate and love of my life. Mom of 3 sons,,4715,4104,70517,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 19:51:25
4,JohnnyHeinlein,"Get on https://t.co/ItATGfmdjA
https://t.co/cZ8gMEfmkU","Dragør, Danmark",1052,245,8020,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 18:50:44
5,BANGBBJ,Debate about politics. Support Trump. Pro Brexit. Anti EU & Political Correctness. Believe in free speech. Socialism are one of mankind’s biggest betrayal🇩🇰,Rungsted Kyst. Denmark ,1660,876,47815,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 17:54:18
6,Susanne49575147,sølvpapirs hat,,31,35,231,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 15:50:36
7,ealeorah,Warrior of light. Freedomlover💛✨💫. Common sense. Covid negative-even without testing #Kobjælde #stoptheshot,,2678,1660,28744,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 14:10:45
8,SteffenSrensen5,,,853,635,4416,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 14:04:50
9,VibekeVind,"Twitter om sygdommen ME G93.3 (Myalgisk Encephalomyelitis) med udgangspunkt i science. 
Cand. Scient i Biokemi, Senior Scientist, 'velreguleret' ME-patient.",Profil-billede er fra Esbjerg Ugeavis Bagrundsbilledet er Jennifer Brea fra ME-dokumentarfilmen 'Unrest',63,228,5874,0,"Spændende forskning fra PNAS, der linker Long-Covid til ME med “redox imbalance, systemic inflammation, brain inflammation and a hypometabolic state”
#dkmedier #covid19dk #dkvid #dkforsk 
https://t.co/Sd0TxnWN1y","['dkmedier', 'covid19dk', 'dkvid', 'dkforsk']",2021-08-21 12:38:41
10,KirkegaardDane,White Christian male danish dansker🇩🇰.What's down in the dark will be brought to the light.,,1445,1061,11767,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 11:15:58
11,Mr____Freedom,"Activism, freedom and power to the people ✊🏽 #freeobserver #frihedskæmper #freespirit of the world ✌🏽️","Sjælland, Danmark",136,121,1223,10,"Over 55.000 indberetninger om bivirkninger.. Minus alle dem lægen ikke vil indberette 🤷🏽‍♂️

#dkpol #dkmedier #covid19dk https://t.co/iWLdKtKSc7","['dkpol', 'dkmedier', 'covid19dk']",2021-08-21 08:41:50
